grouping_variable,source_column,group_value,multi_label_grouping,n_total,n_diverging,n_high_agreement,eligible_for_auroc,minimum_required_per_class
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,clear_quality_difference,True,32,6,26,False,10
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,expertise_or_complexity,True,52,23,29,True,10
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,factuality,True,109,58,51,True,10
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,format_or_style,True,70,38,32,True,10
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,instruction_following,True,58,21,37,True,10
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,refusal_strategy,True,63,31,32,True,10
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,task_ambiguity,True,36,18,18,True,10
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,value_or_subjective_preference,True,31,20,11,True,10
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,verbosity_or_concision,True,185,98,87,True,10
task_scenario,task_scenario,brainstorming_or_planning,False,55,30,25,True,10
task_scenario,task_scenario,factual_qa,False,55,25,30,True,10
task_scenario,task_scenario,general_advice_or_chat,False,44,29,15,True,10
task_scenario,task_scenario,medical_or_health,False,12,5,7,False,10
task_scenario,task_scenario,reasoning_or_math,False,51,20,31,True,10
task_scenario,task_scenario,safety_or_sensitive,False,51,23,28,True,10
task_scenario,task_scenario,summarization_or_transformation,False,8,4,4,False,10
task_scenario,task_scenario,technical_or_coding,False,56,28,28,True,10
task_scenario,task_scenario,writing_or_creative,False,68,36,32,True,10
