scope,model,observed_auroc,bootstrap_mean_auroc,bootstrap_se,ci_level,ci_method,ci_lower,ci_upper,ci_contains_0_5,n_bootstrap,random_seed,n_total,n_diverging,n_high_agreement
Overall,Skywork-Reward-Llama-3.1-8B-v0.2,0.60221250000000004,0.60259218749999999,0.027678681853516209,0.94999999999999996,paired stratified percentile bootstrap,0.54952375000000009,0.65600124999999998,False,2000,20260709,400,200,200
Overall,FsfairX-LLaMA3-RM-v0.1,0.63037500000000002,0.63017935624999999,0.026874448221495002,0.94999999999999996,paired stratified percentile bootstrap,0.57792093750000006,0.68250218749999991,False,2000,20260709,400,200,200
Open QA,Skywork-Reward-Llama-3.1-8B-v0.2,0.73687499999999995,0.73756124999999995,0.057036057602808908,0.94999999999999996,paired stratified percentile bootstrap,0.62310937500000008,0.84004687499999975,False,2000,20260709,80,40,40
Open QA,FsfairX-LLaMA3-RM-v0.1,0.75875000000000004,0.75801499999999999,0.054656831066641369,0.94999999999999996,paired stratified percentile bootstrap,0.64467968750000004,0.85689843749999994,False,2000,20260709,80,40,40
Generation,Skywork-Reward-Llama-3.1-8B-v0.2,0.56000000000000005,0.56055265306122437,0.069363917582946244,0.94999999999999996,paired stratified percentile bootstrap,0.42530612244897958,0.69879591836734689,True,2000,20260709,70,35,35
Generation,FsfairX-LLaMA3-RM-v0.1,0.56408163265306122,0.56565836734693875,0.069097455848334682,0.94999999999999996,paired stratified percentile bootstrap,0.42815306122448982,0.69469387755102041,True,2000,20260709,70,35,35
Coding,Skywork-Reward-Llama-3.1-8B-v0.2,0.53714285714285714,0.53643061224489796,0.071087399259573025,0.94999999999999996,paired stratified percentile bootstrap,0.39265306122448984,0.66775510204081634,True,2000,20260709,70,35,35
Coding,FsfairX-LLaMA3-RM-v0.1,0.66857142857142848,0.66782571428571413,0.066062073871282961,0.94999999999999996,paired stratified percentile bootstrap,0.53305102040816332,0.79226530612244883,False,2000,20260709,70,35,35
Chat,Skywork-Reward-Llama-3.1-8B-v0.2,0.53714285714285714,0.53607591836734692,0.072528578019067785,0.94999999999999996,paired stratified percentile bootstrap,0.39589795918367349,0.67591836734693878,True,2000,20260709,70,35,35
Chat,FsfairX-LLaMA3-RM-v0.1,0.55591836734693878,0.55376000000000003,0.069891939930793318,0.94999999999999996,paired stratified percentile bootstrap,0.41590816326530616,0.6906224489795918,True,2000,20260709,70,35,35
Brainstorm,Skywork-Reward-Llama-3.1-8B-v0.2,0.64816326530612234,0.64808979591836735,0.068648750676054318,0.94999999999999996,paired stratified percentile bootstrap,0.50857142857142856,0.77640816326530571,False,2000,20260709,70,35,35
Brainstorm,FsfairX-LLaMA3-RM-v0.1,0.70489795918367348,0.7041585714285713,0.061343888866973451,0.94999999999999996,paired stratified percentile bootstrap,0.57791836734693891,0.81471428571428561,False,2000,20260709,70,35,35
Closed QA,Skywork-Reward-Llama-3.1-8B-v0.2,0.57999999999999996,0.5837,0.093273777122776458,0.94999999999999996,paired stratified percentile bootstrap,0.39500000000000002,0.76250000000000007,True,2000,20260709,40,20,20
Closed QA,FsfairX-LLaMA3-RM-v0.1,0.42250000000000004,0.42482875000000003,0.095178632236730148,0.94999999999999996,paired stratified percentile bootstrap,0.245,0.61499999999999988,True,2000,20260709,40,20,20
